district_code,resource_id,time,demand
11,R11,2,0.0148240840190056
11,R11,3,0.012556526744871701
11,R11,4,0.0272832801057033
11,R2,0,0.0080426339713083
11,R2,1,0.015586685310509399
11,R2,2,0.0105886314421467
11,R2,3,0.0089689476749081
11,R2,4,0.019488057218359202
11,R3,0,0.0096511607655701
11,R3,1,0.0187040223726113
11,R3,2,0.012706357730576
11,R3,3,0.0107627372098901
11,R3,4,0.0233856686620314
11,R4,0,0.0104554241627009
11,R4,1,0.0202626909036623
11,R4,2,0.0137652208747908
11,R4,3,0.0116596319773808
11,R4,4,0.0253344743838675
11,R5,0,0.012063950956962801
11,R5,1,0.0233800279657643
11,R5,2,0.0158829471632202
11,R5,3,0.0134534215123625
11,R5,4,0.029232085827539202
11,R6,0,0.0128682143540935
11,R6,1,0.0249386964968153
11,R6,2,0.0169418103074349
11,R6,3,0.0143503162798533
11,R6,4,0.0311808915493752
11,R7,0,0.0096511607655701
11,R7,1,0.0187040223726113
11,R7,2,0.012706357730576
11,R7,3,0.0107627372098901
11,R7,4,0.0233856686620314
11,R8,0,0.0064341071770466
11,R8,1,0.0124693482484075
11,R8,2,0.0084709051537173
11,R8,3,0.0071751581399265
11,R8,4,0.0155904457746875
11,R9,0,0.0072383705741774
11,R9,1,0.0140280167794584
11,R9,2,0.0095297682979319
11,R9,3,0.0080720529074174
11,R9,4,0.0175392514965234
12,R1,0,0.0270070208256279
12,R1,1,0.0200606976838383
12,R1,2,0.024973032824068
12,R1,3,0.0229075390843873
12,R1,4,0.0276429129432803
12,R10,0,0.029707722908191
12,R10,1,0.0220667674522222
12,R10,2,0.0274703361064748
12,R10,3,0.025198292992825902
12,R10,4,0.030407204237608502
12,R11,0,0.0378098291558794
12,R11,1,0.028084976757374
12,R11,2,0.0349622459536952
12,R11,3,0.0320705547181422
12,R11,4,0.0387000781205926
12,R2,0,0.0270070208256279
12,R2,1,0.0200606976838383
12,R2,2,0.024973032824068
12,R2,3,0.0229075390843873
12,R2,4,0.0276429129432803
12,R3,0,0.0324084249907537
12,R3,1,0.024072837220606297
12,R3,2,0.0299676393888818
12,R3,3,0.0274890469012645
12,R3,4,0.0331714955319364
12,R4,0,0.0351091270733166
12,R4,1,0.0260789069889901
12,R4,2,0.032464942671288397
12,R4,3,0.0297798008097034
12,R4,4,0.0359357868262645
12,R5,0,0.0405105312384423
12,R5,1,0.0300910465257578
12,R5,2,0.0374595492361024
12,R5,3,0.0343613086265808
12,R5,4,0.0414643694149206
12,R6,0,0.0432112333210051
12,R6,1,0.0320971162941417
12,R6,2,0.039956852518509
12,R6,3,0.036652062535019604
12,R6,4,0.0442286607092488
12,R7,0,0.0324084249907537
12,R7,1,0.024072837220606297
12,R7,2,0.0299676393888818
12,R7,3,0.0274890469012645
12,R7,4,0.0331714955319364
12,R8,0,0.0216056166605023
12,R8,1,0.0160485581470707
12,R8,2,0.0199784262592543
12,R8,3,0.0183260312675094
12,R8,4,0.0221143303546242
12,R9,0,0.0243063187430651
12,R9,1,0.0180546279154545
12,R9,2,0.0224757295416612
12,R9,3,0.0206167851759483
12,R9,4,0.0248786216489522
13,R1,0,0.0107919653854406
13,R1,1,0.009098700683135789
13,R1,2,0.0141417838317191
13,R1,3,0.0146801093703785
13,R1,4,0.0110377567994829
13,R10,0,0.0118711619239849
13,R10,1,0.010008570751449338
13,R10,2,0.0155559622148909
13,R10,3,0.0161481203074164
13,R10,4,0.0121415324794313
13,R11,0,0.0151087515396172
13,R11,1,0.01273818095639
13,R11,2,0.0197984973644069
13,R11,3,0.0205521531185303
13,R11,4,0.015452859519276201
13,R2,0,0.0107919653854406
13,R2,1,0.009098700683135789
13,R2,2,0.0141417838317191
13,R2,3,0.0146801093703785
13,R2,4,0.0110377567994829
13,R3,0,0.0129503584625289
13,R3,1,0.0109184408197629
