town_code;town_name;state_code;district_code;sub_district_code
803072;Gangawati (CMC + OG);29;560;5466
803072;Gangawati (CMC);29;560;5466
803073;Koppal (CMC);29;560;5467
803074;Nargund (TMC);29;561;5468
803075;Ron (TMC);29;561;5469
803076;Gajendragarh (TMC);29;561;5469
803077;Naregal (TP);29;561;5469
803078;Gadag-Betigeri (CMC);29;561;5470
803079;Mulgund (TP);29;561;5470
803080;Shirhatti (TP);29;561;5471
803081;Lakshmeshwar (TMC);29;561;5471
803082;Mundargi (TMC);29;561;5472
803083;Hubli-Dharwad (M Corp.);29;562;99999
803084;Alnavar (TP);29;562;5473
803085;Navalgund (TMC);29;562;5474
803086;Annigeri (TMC);29;562;5474
803087;Kalghatgi (TP);29;562;5476
803088;Kundgol (TP);29;562;5477
803089;Dandeli (CMC);29;563;99999
803090;Karwar (CMC + OG);29;563;5478
803090;Karwar (CMC);29;563;5478
803091;Haliyal (TP);29;563;5480
803092;Yellapur (TP);29;563;5481
803093;Mundgod (TP);29;563;5482
803094;Sirsi (CMC);29;563;5483
803095;Ankola (TP + OG);29;563;5484
803095;Ankola (TP);29;563;5484
803096;Kumta (TMC + OG);29;563;5485
803096;Kumta (TMC);29;563;5485
803097;Siddapur (TP);29;563;5486
803098;Honavar (TP);29;563;5487
803099;Bhatkal (TMC);29;563;5488
803100;Shiggaon (TMC);29;564;5489
803101;Bankapura (TMC);29;564;5489
803102;Savanur (TMC);29;564;5490
803103;Hangal (TMC);29;564;5491
803104;Haveri (CMC);29;564;5492
803105;Byadgi (TMC);29;564;5493
803106;Hirekerur (TP);29;564;5494
803107;Ranibennur (CMC);29;564;5495
803108;Hoovina Hadagalli (TMC);29;565;5496
803109;Hospet (CMC);29;565;5498
803110;Kamalapuram (TP);29;565;5498
803111;Kampli (TMC);29;565;5498
803112;Siruguppa (TMC);29;565;5499
803113;Tekkalakote (TP);29;565;5499
803114;Bellary (M Corp.);29;565;5500
803115;Sandur (TMC);29;565;5501
803116;Kudligi (TP);29;565;5502
803117;Kotturu (TP);29;565;5502
803118;Molakalmuru (TP);29;566;5503
803119;Challakere (TMC);29;566;5504
803120;Chitradurga (CMC + OG);29;566;5505
803120;Chitradurga (CMC);29;566;5505
803121;Holalkere (TP);29;566;5506
803122;Hosdurga (TMC);29;566;5507
803123;Hiriyur (TMC);29;566;5508
803124;Harihar (CMC + OG);29;567;5509
803124;Harihar (CMC);29;567;5509
803125;Harapanahalli (TMC);29;567;5510
803126;Jagalur (TP);29;567;5511
803127;Davanagere (M Corp.);29;567;5512
803128;Honnali (TP);29;567;5513
803129;Channagiri (TP);29;567;5514
803130;Jog Kargal (TP);29;568;5515
803131;Sagar (CMC);29;568;5515
803132;Sorab (TP);29;568;5516
803133;Siralkoppa (TP);29;568;5517
803134;Shikarpur (TMC);29;568;5517
803135;Hosanagara (TP);29;568;5518
803136;Tirthahalli (TP);29;568;5519
803137;Shimoga (CMC);29;568;5520
803138;Bhadravati (CMC);29;568;5521
803139;Kundapura (TMC);29;569;5522
803140;Saligram (TP);29;569;5523
803141;Udupi (CMC + OG);29;569;5523
803141;Udupi (CMC);29;569;5523
803142;Karkal (TMC);29;569;5524
