town_code,town_name,district_code,state_code
800429,Gurgaon (M Corp. + OG),86,6
800429,Gurgaon (M Corp.),86,6
800430,Farrukhnagar (MC),86,6
800431,Sohna (MC),86,6
800432,Taoru (MC),87,6
800433,Nuh (MC),87,6
800434,Ferozepur jhirka (MC),87,6
800435,Punahana (MC),87,6
800436,Faridabad (M Corp.),88,6
800437,Palwal (M Cl + OG),89,6
800437,Palwal (M Cl),89,6
800438,Hathin (MC),89,6
800439,Hassan Pur (MC),89,6
800440,Hodal (MC),89,6
800441,DMC (U) (Part),90,7
800441,DMC (U) (Part),90,7
800441,DMC (U) (Part),90,7
800441,DMC (U) (Part),91,7
800441,DMC (U) (Part),91,7
800441,DMC (U) (Part),91,7
800441,DMC (U) (Part),92,7
800441,DMC (U) (Part),92,7
800441,DMC (U) (Part),92,7
800441,DMC (U) (Part),93,7
800441,DMC (U) (Part),93,7
800441,DMC (U) (Part),93,7
800441,DMC (U) (Part),94,7
800442,NDMC (Part),94,7
800442,NDMC (Part),94,7
800442,NDMC (Part),94,7
800441,DMC (U) (Part),95,7
800441,DMC (U) (Part),95,7
800442,NDMC (Part),95,7
800441,DMC (U) (Part),95,7
800441,DMC (U) (Part),96,7
800441,DMC (U) (Part),96,7
800441,DMC (U) (Part),96,7
800441,DMC (U) (Part),97,7
800441,DMC (U) (Part),97,7
800443,Delhi Cantonment (CB) (Part),97,7
800441,DMC (U) (Part),97,7
800443,Delhi Cantonment (CB) (Part),97,7
800442,NDMC (Part),97,7
800441,DMC (U) (Part),98,7
800442,NDMC (Part),98,7
800441,DMC (U) (Part),98,7
800442,NDMC (Part),98,7
800441,DMC (U) (Part),98,7
800444,Kesrisinghpur (M),99,8
800445,Karanpur (M),99,8
800446,Ganganagar (M Cl + OG),99,8
800446,Ganganagar (M Cl),99,8
800447,Sadulshahar (M),99,8
800448,Gajsinghpur (M),99,8
800449,Padampur (M),99,8
800450,Raisinghnagar (M),99,8
800451,Anupgarh (M),99,8
800452,Vijainagar (M),99,8
800453,Suratgarh (M),99,8
800454,Sangaria (M),100,8
800455,Hanumangarh (M Cl),100,8
800456,Pilibanga (M),100,8
800457,Rawatsar (M),100,8
800458,Nohar (M),100,8
800459,Bhadra (M),100,8
800460,Bikaner (M Corp.),101,8
800461,Deshnoke (M),101,8
800462,Nokha (M),101,8
800463,Dungargarh (M),101,8
800464,Taranagar (M),102,8
800465,Rajgarh (M),102,8
800466,Sardarshahar (M),102,8
800467,Ratannagar (M),102,8
800468,Churu (M Cl + OG),102,8
800468,Churu (M Cl),102,8
800469,Ratangarh (M),102,8
800470,Rajaldesar (M),102,8
800471,Bidasar (M),102,8
800472,Chhapar (M),102,8
800473,Sujangarh (M),102,8
800474,Bissau (M),103,8
800475,Mandawa (M),103,8
800476,Jhunjhunun (M Cl),103,8
800477,Baggar (M),103,8
800478,Pilani (M) ,103,8
800479,Vidyavihar (M),103,8
800480,Surajgarh (M),103,8
800481,Chirawa (M),103,8
800482,Khetri (M),103,8
800483,Mukandgarh (M),103,8
800484,Nawalgarh (M),103,8
800485,Udaipurwati (M),103,8
800486,Behror (M),104,8
800487,Bhiwadi (M),104,8
800488,Tijara (M),104,8
800489,Khairthal (M),104,8
800490,Alwar (M Cl + OG),104,8
800490,Alwar (M Cl),104,8
800491,Rajgarh (M),104,8
800492,Kherli (M),104,8
800493,Kaman (M),105,8
800494,Nagar (M),105,8
800495,Deeg (M),105,8
800496,Nadbai (M),105,8
800497,Kumher (M),105,8
800498,Bharatpur (M Cl + OG)  ,105,8
800498,Bharatpur (M Cl) ,105,8
800499,Bhusawar (M),105,8
800500,Weir (M),105,8
800501,Bayana (M),105,8
800502,Bari (M),106,8
800503,Dhaulpur (M + OG),106,8
800503,Dhaulpur (M),106,8
800504,Rajakhera (M),106,8
800505,Todabhim (M),107,8
800506,Hindaun (M),107,8
800507,Karauli (M),107,8
800508,Gangapur City (M),108,8
800509,Sawai Madhopur (M),108,8
800510,Bandikui (M),109,8
800511,Dausa (M),109,8
800512,Lalsot (M),109,8
800513,Kotputli (M),110,8
800514,Viratnagar (M),110,8
800515,Shahpura (M),110,8
800516,Chomu (M),110,8
800517,Kishangarh Renwal (M),110,8
800518,Sambhar (M),110,8
800519,Phulera (M + OG),110,8
800519,Phulera (M),110,8
800520,Jobner (M),110,8
800521,Bagru (M),110,8
800522,Jaipur (M Corp.) (Part),110,8
800522,Jaipur (M Corp.) (Part),110,8
800522,Jaipur (M Corp.) (Part),110,8
800523,Chaksu (M),110,8
800524,Ramgarh (M),111,8
800525,Fatehpur (M),111,8
800526,Lachhmangarh (M),111,8
800527,Sikar (M Cl + OG),111,8
800527,Sikar (M Cl),111,8
800528,Losal (M),111,8
800529,Khandela (M + OG),111,8
800529,Khandela (M),111,8
800530,Sri Madhopur (M),111,8
800531,Reengus (M),111,8
800532,Neem-Ka-Thana (M),111,8
800533,Ladnu (M),112,8
800534,Didwana (M + OG),112,8
800534,Didwana (M),112,8
800535,Nagaur (M + OG),112,8
800535,Nagaur (M),112,8
800536,Mundwa (M),112,8
800537,Kuchera (M),112,8
800538,Merta City (M),112,8
800539,Parbatsar (M),112,8
800540,Makrana (M + OG),112,8
800540,Makrana (M),112,8
800541,Kuchaman City (M),112,8
800542,Nawa (M),112,8
800543,Phalodi (M + OG),113,8
800543,Phalodi (M),113,8
800544,Jodhpur (M Corp. + OG),113,8
800544,Jodhpur (M Corp.),113,8
800545,Pipar City (M),113,8
800546,Bilara (M),113,8
800547,Jaisalmer (M),114,8
800548,Pokaran (M),114,8
800549,Balotra (M),115,8
800550,Barmer (M),115,8
800551,Jalor (M),116,8
800552,Bhinmal (M),116,8
800553,Sanchore (M),116,8
800554,Sheoganj (M + OG),117,8
800554,Sheoganj (M),117,8
800555,Sirohi (M),117,8
800556,Pindwara (M),117,8
800557,Mount Abu (M),117,8
800558,Abu Road (M + OG),117,8
800558,Abu Road (M),117,8
800559,Jaitaran (M),118,8
800560,Sojat (M),118,8
800561,Pali (M Cl),118,8
800562,Rani (M),118,8
800563,Sadri (M),118,8
800564,Takhatgarh (M),118,8
800565,Sumerpur (M),118,8
800566,Falna (M),118,8
800567,Bali (M),118,8
800568,Kishangarh (M Cl),119,8
800569,Pushkar (M),119,8
800570,Ajmer (M Corp.),119,8
800571,Beawar (M Cl + OG),119,8
800571,Beawar (M Cl),119,8
800572,Vijainagar (M),119,8
800573,Nasirabad (CB),119,8
800574,Sarwar (M),119,8
800575,Kekri (M),119,8
800576,Malpura (M + OG),120,8
800576,Malpura (M),120,8
800577,Niwai (M),120,8
800578,Tonk (M Cl),120,8
800579,Todaraisingh (M),120,8
800580,Deoli (M),120,8
800581,Uniara (M),120,8
800582,Nainwa (M),121,8
800583,Indragarh (M),121,8
800584,Lakheri (M),121,8
800585,Keshoraipatan (M),121,8
800586,Kaprain (M),121,8
800587,Bundi (M + OG),121,8
800587,Bundi (M),121,8
800588,Asind (M),122,8
800589,Gulabpura (M),122,8
800590,Shahpura (M),122,8
800591,Gangapur (M),122,8
800592,Bhilwara (M Cl),122,8
800593,Jahazpur (M),122,8
800594,Mandalgarh (M),122,8
800595,Deogarh (M),123,8
800596,Amet (M),123,8
800597,Rajsamand (M),123,8
800598,Nathdwara (M),123,8
800599,Dungarpur (M),124,8
800600,Sagwara (M),124,8
800601,Banswara (M + OG),125,8
800601,Banswara (M),125,8
800602,Kushalgarh (M),125,8
